sigungu_code,sigungu_nm,q,mode,run2_ms,run3_ms,median_ms,top_type,top_index,top_rows,rows_removed,md5_same
11500,강서구,학원,on,250.099,274.435,262.267,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11500,강서구,학원,off,43.301,43.484,43.392,Index Scan using,idx_mpsn_sigungu,371,5717,y
11500,강서구,공인중개사,on,77.07,76.963,77.016,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11500,강서구,공인중개사,off,76.498,76.835,76.666,Index Scan using,idx_mpsn_sigungu,692,5396,y
11500,강서구,편의점,on,4.192,4.125,4.159,Bitmap Index Scan on,idx_mpsn_sigungu,6088,,y
11500,강서구,편의점,off,8.378,8.563,8.471,Index Scan using,idx_mpsn_sigungu,9,6079,y
11500,강서구,스타벅스,on,11.431,11.578,11.505,Index Scan using,idx_mpsn_pnu,1,,y
11500,강서구,스타벅스,off,16.821,16.788,16.805,Index Scan using,idx_mpsn_sigungu,33,6055,y
11500,강서구,미용실,on,12.217,15.08,13.649,Index Scan using,idx_mpsn_pnu,1,,y
11500,강서구,미용실,off,16.882,16.792,16.837,Index Scan using,idx_mpsn_sigungu,108,5980,y
11530,구로구,카페,on,237.768,236.699,237.233,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11530,구로구,카페,off,29.578,29.627,29.602,Index Scan using,idx_mpsn_sigungu,175,4608,y
11530,구로구,학원,on,236.327,235.708,236.017,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11530,구로구,학원,off,28.127,28.555,28.341,Index Scan using,idx_mpsn_sigungu,199,4584,y
11530,구로구,공인중개사,on,49.674,49.526,49.6,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11530,구로구,공인중개사,off,48.257,48.376,48.316,Index Scan using,idx_mpsn_sigungu,415,4368,y
11530,구로구,편의점,on,1.797,1.791,1.794,Bitmap Index Scan on,idx_mpsn_sigungu,4783,,y
11530,구로구,편의점,off,4.909,4.832,4.87,Index Scan using,idx_mpsn_sigungu,7,4776,y
11530,구로구,스타벅스,on,10.319,9.986,10.152,Bitmap Index Scan on,idx_mpsn_names,731,,y
11530,구로구,스타벅스,off,13.37,13.477,13.424,Index Scan using,idx_mpsn_sigungu,14,4769,y
11530,구로구,미용실,on,11.146,11.541,11.344,Bitmap Index Scan on,idx_mpsn_names,2614,,y
11530,구로구,미용실,off,14.056,13.912,13.984,Index Scan using,idx_mpsn_sigungu,93,4690,y
11545,금천구,카페,on,242.213,242.352,242.282,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11545,금천구,카페,off,34.357,35.277,34.817,Index Scan using,idx_mpsn_sigungu,135,3283,y
11545,금천구,학원,on,229.848,230.302,230.075,Bitmap Index Scan on,idx_mpsn_names,184924,,y
11545,금천구,학원,off,22.147,21.725,21.936,Index Scan using,idx_mpsn_sigungu,101,3317,y
11545,금천구,공인중개사,on,55.938,55.972,55.955,Bitmap Index Scan on,idx_mpsn_names,14180,,y
11545,금천구,공인중개사,off,84.445,71.106,77.775,Index Scan using,idx_mpsn_sigungu,313,3105,y
11545,금천구,편의점,on,2.254,2.238,2.246,Bitmap Index Scan on,idx_mpsn_sigungu,3418,,y
